time_ns,sample,mode,a,b,valid_in,clear,acc,sat_flag,fp_flag
1503865,75191,0,127,127,1,0,1212179220,0,0
1507865,75391,0,127,127,1,0,1215405020,0,0
1511885,75592,0,127,127,1,0,1218646949,0,0
1515885,75792,0,127,127,1,0,1221872749,0,0
1519885,75992,0,127,127,1,0,1225098549,0,0
1523905,76193,0,127,127,1,0,1228340478,0,0
1527905,76393,0,127,127,1,0,1231566278,0,0
1531905,76593,0,127,127,1,0,1234792078,0,0
1535905,76793,0,127,127,1,0,1238017878,0,0
1539925,76994,0,127,127,1,0,1241259807,0,0
1543925,77194,0,127,127,1,0,1244485607,0,0
1547925,77394,0,127,127,1,0,1247711407,0,0
1551945,77595,0,127,127,1,0,1250953336,0,0
1555945,77795,0,127,127,1,0,1254179136,0,0
1559945,77995,0,127,127,1,0,1257404936,0,0
1563965,78196,0,127,127,1,0,1260646865,0,0
1567965,78396,0,127,127,1,0,1263872665,0,0
1571965,78596,0,127,127,1,0,1267098465,0,0
1575965,78796,0,127,127,1,0,1270324265,0,0
1579985,78997,0,127,127,1,0,1273566194,0,0
1583985,79197,0,127,127,1,0,1276791994,0,0
1587985,79397,0,127,127,1,0,1280017794,0,0
1592005,79598,0,127,127,1,0,1283259723,0,0
1596005,79798,0,127,127,1,0,1286485523,0,0
1600005,79998,0,127,127,1,0,1289711323,0,0
1604005,80198,0,127,127,1,0,1292937123,0,0
1608025,80399,0,127,127,1,0,1296179052,0,0
1612025,80599,0,127,127,1,0,1299404852,0,0
1616025,80799,0,127,127,1,0,1302630652,0,0
1620045,81000,0,127,127,1,0,1305872581,0,0
1624045,81200,0,127,127,1,0,1309098381,0,0
1628045,81400,0,127,127,1,0,1312324181,0,0
1632065,81601,0,127,127,1,0,1315566110,0,0
1636065,81801,0,127,127,1,0,1318791910,0,0
1640065,82001,0,127,127,1,0,1322017710,0,0
1644065,82201,0,127,127,1,0,1325243510,0,0
1648085,82402,0,127,127,1,0,1328485439,0,0
1652085,82602,0,127,127,1,0,1331711239,0,0
1656085,82802,0,127,127,1,0,1334937039,0,0
1660105,83003,0,127,127,1,0,1338178968,0,0
1664105,83203,0,127,127,1,0,1341404768,0,0
1668105,83403,0,127,127,1,0,1344630568,0,0
1672125,83604,0,127,127,1,0,1347872497,0,0
1676125,83804,0,127,127,1,0,1351098297,0,0
1680125,84004,0,127,127,1,0,1354324097,0,0
1684125,84204,0,127,127,1,0,1357549897,0,0
1688145,84405,0,127,127,1,0,1360791826,0,0
1692145,84605,0,127,127,1,0,1364017626,0,0
1696145,84805,0,127,127,1,0,1367243426,0,0
1700165,85006,0,127,127,1,0,1370485355,0,0
1704165,85206,0,127,127,1,0,1373711155,0,0
1708165,85406,0,127,127,1,0,1376936955,0,0
1712165,85606,0,127,127,1,0,1380162755,0,0
1716185,85807,0,127,127,1,0,1383404684,0,0
1720185,86007,0,127,127,1,0,1386630484,0,0
1724185,86207,0,127,127,1,0,1389856284,0,0
1728205,86408,0,127,127,1,0,1393098213,0,0
1732205,86608,0,127,127,1,0,1396324013,0,0
1736205,86808,0,127,127,1,0,1399549813,0,0
1740225,87009,0,127,127,1,0,1402791742,0,0
1744225,87209,0,127,127,1,0,1406017542,0,0
1748225,87409,0,127,127,1,0,1409243342,0,0
